row_id,user_id,item_id,rating,review_length,sentiment_label,sentiment_1_5,sentiment_expected_1_5,sentiment_scores,sentiment_p1,sentiment_p2,sentiment_p3,sentiment_p4,sentiment_p5
15,3379,106,5.0,47,positive,4,4.075954829051625,"{""strongly negative"": 0.000648, ""negative"": 0.003164, ""negative or neutral"": 0.016284, ""positive"": 0.879392, ""strongly positive"": 0.100511}",0.000648,0.003164,0.016284,0.879392,0.100511
16,3896,1015,5.0,128,positive,4,3.98646998492768,"{""strongly negative"": 0.000385, ""negative"": 0.001338, ""negative or neutral"": 0.029029, ""positive"": 0.949919, ""strongly positive"": 0.019329}",0.000385,0.001338,0.029029,0.949919,0.019329
17,2578,952,4.0,160,negative or neutral,3,2.799078850657679,"{""strongly negative"": 0.00227, ""negative"": 0.333266, ""negative or neutral"": 0.528737, ""positive"": 0.134569, ""strongly positive"": 0.001158}",0.00227,0.333266,0.528737,0.134569,0.001158
18,4842,835,4.0,401,negative or neutral,3,2.9669359893305227,"{""strongly negative"": 0.000258, ""negative"": 0.103062, ""negative or neutral"": 0.826415, ""positive"": 0.070014, ""strongly positive"": 0.00025}",0.000258,0.103062,0.826415,0.070014,0.00025
19,4279,1323,5.0,31,positive,4,4.063170602370519,"{""strongly negative"": 0.000556, ""negative"": 0.001353, ""negative or neutral"": 0.013665, ""positive"": 0.903219, ""strongly positive"": 0.081208}",0.000556,0.001353,0.013665,0.903219,0.081208
20,2228,576,5.0,25,negative or neutral,3,3.00615825667046,"{""strongly negative"": 0.000108, ""negative"": 0.019429, ""negative or neutral"": 0.954809, ""positive"": 0.025505, ""strongly positive"": 0.000149}",0.000108,0.019429,0.954809,0.025505,0.000149
21,962,332,5.0,49,positive,4,4.27803713188041,"{""strongly negative"": 0.001131, ""negative"": 0.00256, ""negative or neutral"": 0.009646, ""positive"": 0.690465, ""strongly positive"": 0.296198}",0.001131,0.00256,0.009646,0.690465,0.296198
22,2109,988,4.0,34,positive,4,4.003134447382763,"{""strongly negative"": 0.000594, ""negative"": 0.003582, ""negative or neutral"": 0.036809, ""positive"": 0.910124, ""strongly positive"": 0.04889}",0.000594,0.003582,0.036809,0.910124,0.04889
23,3987,803,5.0,94,positive,4,3.6313434226904064,"{""strongly negative"": 0.001077, ""negative"": 0.020042, ""negative or neutral"": 0.328812, ""positive"": 0.646597, ""strongly positive"": 0.003471}",0.001077,0.020042,0.328812,0.646597,0.003471
24,254,1421,2.0,74,negative,2,2.0220184439676814,"{""strongly negative"": 0.033226, ""negative"": 0.917372, ""negative or neutral"": 0.044351, ""positive"": 0.004259, ""strongly positive"": 0.000792}",0.033226,0.917372,0.044351,0.004259,0.000792
25,1131,1125,1.0,24,negative,2,1.7964076126227155,"{""strongly negative"": 0.238163, ""negative"": 0.733832, ""negative or neutral"": 0.023174, ""positive"": 0.003095, ""strongly positive"": 0.001735}",0.238163,0.733832,0.023174,0.003095,0.001735
26,1905,1268,5.0,23,positive,4,4.136365446320269,"{""strongly negative"": 0.0007, ""negative"": 0.001282, ""negative or neutral"": 0.015444, ""positive"": 0.826104, ""strongly positive"": 0.156471}",0.0007,0.001282,0.015444,0.826104,0.156471
27,1873,1641,4.0,35,positive,4,3.990328774234513,"{""strongly negative"": 0.000181, ""negative"": 0.000558, ""negative or neutral"": 0.019414, ""positive"": 0.968446, ""strongly positive"": 0.011401}",0.000181,0.000558,0.019414,0.968446,0.011401
28,1178,1258,5.0,32,positive,4,3.6507741055102088,"{""strongly negative"": 0.000255, ""negative"": 0.006794, ""negative or neutral"": 0.336601, ""positive"": 0.654619, ""strongly positive"": 0.00173}",0.000255,0.006794,0.336601,0.654619,0.00173
29,4222,509,5.0,49,positive,4,4.112488769344054,"{""strongly negative"": 0.000975, ""negative"": 0.002088, ""negative or neutral"": 0.016237, ""positive"": 0.844876, ""strongly positive"": 0.135825}",0.000975,0.002088,0.016237,0.844876,0.135825
30,2711,1433,5.0,271,negative or neutral,3,3.038477953057736,"{""strongly negative"": 0.000632, ""negative"": 0.077361, ""negative or neutral"": 0.80543, ""positive"": 0.116051, ""strongly positive"": 0.000526}",0.000632,0.077361,0.80543,0.116051,0.000526
31,2486,267,5.0,54,positive,4,4.474457648699172,"{""strongly negative"": 0.001413, ""negative"": 0.002305, ""negative or neutral"": 0.007838, ""positive"": 0.497301, ""strongly positive"": 0.491144}",0.001413,0.002305,0.007838,0.497301,0.491144
32,3547,757,4.0,33,positive,4,3.962533554135007,"{""strongly negative"": 0.000232, ""negative"": 0.001167, ""negative or neutral"": 0.040762, ""positive"": 0.951516, ""strongly positive"": 0.006324}",0.000232,0.001167,0.040762,0.951516,0.006324
33,1726,742,5.0,37,positive,4,4.37075132667087,"{""strongly negative"": 0.000772, ""negative"": 0.001243, ""negative or neutral"": 0.006209, ""positive"": 0.610011, ""strongly positive"": 0.381764}",0.000772,0.001243,0.006209,0.610011,0.381764
34,2389,586,3.0,64,negative,2,2.063772208755836,"{""strongly negative"": 0.018415, ""negative"": 0.905969, ""negative or neutral"": 0.069744, ""positive"": 0.005175, ""strongly positive"": 0.000697}",0.018415,0.905969,0.069744,0.005175,0.000697
35,1883,682,5.0,77,positive,4,4.254036056459881,"{""strongly negative"": 0.001235, ""negative"": 0.003392, ""negative or neutral"": 0.013026, ""positive"": 0.704794, ""strongly positive"": 0.277553}",0.001235,0.003392,0.013026,0.704794,0.277553
36,2679,1616,5.0,29,positive,4,4.072946564410813,"{""strongly negative"": 0.000692, ""negative"": 0.001912, ""negative or neutral"": 0.018753, ""positive"": 0.881042, ""strongly positive"": 0.0976}",0.000692,0.001912,0.018753,0.881042,0.0976
37,629,1684,5.0,44,positive,4,3.968647376052104,"{""strongly negative"": 0.000329, ""negative"": 0.002552, ""negative or neutral"": 0.035193, ""positive"": 0.951993, ""strongly positive"": 0.009933}",0.000329,0.002552,0.035193,0.951993,0.009933
38,2347,504,4.0,34,positive,4,4.006006531199091,"{""strongly negative"": 0.000242, ""negative"": 0.000546, ""negative or neutral"": 0.016434, ""positive"": 0.958517, ""strongly positive"": 0.02426}",0.000242,0.000546,0.016434,0.958517,0.02426
39,4522,848,4.0,43,positive,4,3.976931908167898,"{""strongly negative"": 0.000772, ""negative"": 0.003452, ""negative or neutral"": 0.045669, ""positive"": 0.918285, ""strongly positive"": 0.031822}",0.000772,0.003452,0.045669,0.918285,0.031822
40,2930,1432,1.0,20,strongly negative,1,1.2837873920798302,"{""strongly negative"": 0.734592, ""negative"": 0.253803, ""negative or neutral"": 0.007338, ""positive"": 0.001759, ""strongly positive"": 0.002508}",0.734592,0.253803,0.007338,0.001759,0.002508
41,229,674,5.0,17,negative or neutral,3,2.8825965194846503,"{""strongly negative"": 0.000573, ""negative"": 0.172121, ""negative or neutral"": 0.772033, ""positive"": 0.054683, ""strongly positive"": 0.00059}",0.000573,0.172121,0.772033,0.054683,0.00059
42,504,636,3.0,68,negative or neutral,3,3.045840267499443,"{""strongly negative"": 0.000143, ""negative"": 0.02416, ""negative or neutral"": 0.905667, ""positive"": 0.069773, ""strongly positive"": 0.000257}",0.000143,0.02416,0.905667,0.069773,0.000257
43,1893,1363,3.0,43,negative or neutral,3,2.700988653174136,"{""strongly negative"": 0.001209, ""negative"": 0.36089, ""negative or neutral"": 0.574423, ""positive"": 0.062658, ""strongly positive"": 0.00082}",0.001209,0.36089,0.574423,0.062658,0.00082
44,4373,842,5.0,22,positive,4,3.9671712799172383,"{""strongly negative"": 0.000125, ""negative"": 0.000512, ""negative or neutral"": 0.040429, ""positive"": 0.949938, ""strongly positive"": 0.008997}",0.000125,0.000512,0.040429,0.949938,0.008997
45,2271,577,4.0,23,positive,4,3.817886970093241,"{""strongly negative"": 0.000277, ""negative"": 0.003485, ""negative or neutral"": 0.176906, ""positive"": 0.816738, ""strongly positive"": 0.002594}",0.000277,0.003485,0.176906,0.816738,0.002594
46,4860,486,5.0,39,positive,4,4.043459522537887,"{""strongly negative"": 0.000549, ""negative"": 0.001229, ""negative or neutral"": 0.011154, ""positive"": 0.928348, ""strongly positive"": 0.058719}",0.000549,0.001229,0.011154,0.928348,0.058719
47,5126,595,3.0,50,negative,2,2.023926209833008,"{""strongly negative"": 0.031947, ""negative"": 0.91706, ""negative or neutral"": 0.046841, ""positive"": 0.003424, ""strongly positive"": 0.000728}",0.031947,0.91706,0.046841,0.003424,0.000728
48,3874,1583,5.0,42,positive,4,3.969581787780044,"{""strongly negative"": 0.000187, ""negative"": 0.00098, ""negative or neutral"": 0.039442, ""positive"": 0.947846, ""strongly positive"": 0.011545}",0.000187,0.00098,0.039442,0.947846,0.011545
49,3265,1297,4.0,25,negative,2,2.3596195242134854,"{""strongly negative"": 0.001085, ""negative"": 0.648019, ""negative or neutral"": 0.341375, ""positive"": 0.009235, ""strongly positive"": 0.000287}",0.001085,0.648019,0.341375,0.009235,0.000287
50,4944,411,4.0,51,positive,4,3.898886441063951,"{""strongly negative"": 0.00022, ""negative"": 0.00457, ""negative or neutral"": 0.098579, ""positive"": 0.889365, ""strongly positive"": 0.007266}",0.00022,0.00457,0.098579,0.889365,0.007266
51,1084,1167,4.0,438,negative or neutral,3,3.2163710350287147,"{""strongly negative"": 0.000416, ""negative"": 0.018283, ""negative or neutral"": 0.746532, ""positive"": 0.234055, ""strongly positive"": 0.000715}",0.000416,0.018283,0.746532,0.234055,0.000715
52,3092,702,5.0,92,positive,4,4.011649689869955,"{""strongly negative"": 0.000531, ""negative"": 0.002747, ""negative or neutral"": 0.025201, ""positive"": 0.927585, ""strongly positive"": 0.043937}",0.000531,0.002747,0.025201,0.927585,0.043937
53,2505,249,4.0,346,negative or neutral,3,3.000805567047792,"{""strongly negative"": 0.000405, ""negative"": 0.082343, ""negative or neutral"": 0.833662, ""positive"": 0.083222, ""strongly positive"": 0.000368}",0.000405,0.082343,0.833662,0.083222,0.000368
54,1497,1677,3.0,179,negative or neutral,3,2.900727181287948,"{""strongly negative"": 0.001279, ""negative"": 0.175161, ""negative or neutral"": 0.745697, ""positive"": 0.077279, ""strongly positive"": 0.000584}",0.001279,0.175161,0.745697,0.077279,0.000584
55,2625,793,5.0,24,positive,4,4.024293542577652,"{""strongly negative"": 0.000282, ""negative"": 0.001403, ""negative or neutral"": 0.018252, ""positive"": 0.933865, ""strongly positive"": 0.046197}",0.000282,0.001403,0.018252,0.933865,0.046197
56,1644,1637,5.0,45,positive,4,3.935187071707333,"{""strongly negative"": 0.000169, ""negative"": 0.001988, ""negative or neutral"": 0.06731, ""positive"": 0.923552, ""strongly positive"": 0.006981}",0.000169,0.001988,0.06731,0.923552,0.006981
57,4664,1455,5.0,114,positive,4,3.987587363430066,"{""strongly negative"": 0.000448, ""negative"": 0.003158, ""negative or neutral"": 0.036199, ""positive"": 0.928748, ""strongly positive"": 0.031447}",0.000448,0.003158,0.036199,0.928748,0.031447
58,2307,112,5.0,21,positive,4,4.107782932231203,"{""strongly negative"": 0.000693, ""negative"": 0.001512, ""negative or neutral"": 0.017411, ""positive"": 0.850087, ""strongly positive"": 0.130297}",0.000693,0.001512,0.017411,0.850087,0.130297
59,2694,833,4.0,27,positive,4,3.999580889183562,"{""strongly negative"": 0.000245, ""negative"": 0.000635, ""negative or neutral"": 0.025757, ""positive"": 0.94602, ""strongly positive"": 0.027343}",0.000245,0.000635,0.025757,0.94602,0.027343
60,4718,276,4.0,21,positive,4,4.108093361835927,"{""strongly negative"": 0.000533, ""negative"": 0.000953, ""negative or neutral"": 0.014726, ""positive"": 0.857463, ""strongly positive"": 0.126325}",0.000533,0.000953,0.014726,0.857463,0.126325
61,72,267,5.0,116,positive,4,4.15479033254087,"{""strongly negative"": 0.00217, ""negative"": 0.008742, ""negative or neutral"": 0.026011, ""positive"": 0.758283, ""strongly positive"": 0.204794}",0.00217,0.008742,0.026011,0.758283,0.204794
62,1738,1011,5.0,20,strongly positive,5,4.770549020031467,"{""strongly negative"": 0.002144, ""negative"": 0.001717, ""negative or neutral"": 0.004043, ""positive"": 0.207635, ""strongly positive"": 0.78446}",0.002144,0.001717,0.004043,0.207635,0.78446
63,3444,1475,2.0,746,negative or neutral,3,2.9325827460561413,"{""strongly negative"": 0.000466, ""negative"": 0.110574, ""negative or neutral"": 0.845214, ""positive"": 0.043402, ""strongly positive"": 0.000344}",0.000466,0.110574,0.845214,0.043402,0.000344
64,2997,324,5.0,22,positive,4,3.9797091848158734,"{""strongly negative"": 0.000487, ""negative"": 0.00277, ""negative or neutral"": 0.055519, ""positive"": 0.898993, ""strongly positive"": 0.042231}",0.000487,0.00277,0.055519,0.898993,0.042231
65,1398,1014,5.0,22,positive,4,3.893907357356511,"{""strongly negative"": 0.000561, ""negative"": 0.011291, ""negative or neutral"": 0.103869, ""positive"": 0.862236, ""strongly positive"": 0.022043}",0.000561,0.011291,0.103869,0.862236,0.022043
66,1033,568,5.0,28,positive,4,3.4928237834828906,"{""strongly negative"": 0.000565, ""negative"": 0.01768, ""negative or neutral"": 0.47214, ""positive"": 0.507595, ""strongly positive"": 0.002019}",0.000565,0.01768,0.47214,0.507595,0.002019
67,2227,168,5.0,36,positive,4,4.018948558019474,"{""strongly negative"": 0.000275, ""negative"": 0.000641, ""negative or neutral"": 0.012037, ""positive"": 0.953955, ""strongly positive"": 0.033092}",0.000275,0.000641,0.012037,0.953955,0.033092
68,3871,1135,4.0,206,negative or neutral,3,3.0946773610194214,"{""strongly negative"": 0.000648, ""negative"": 0.07024, ""negative or neutral"": 0.763569, ""positive"": 0.164872, ""strongly positive"": 0.000671}",0.000648,0.07024,0.763569,0.164872,0.000671
69,5088,336,5.0,29,positive,4,4.392124873294961,"{""strongly negative"": 0.000958, ""negative"": 0.00094, ""negative or neutral"": 0.005213, ""positive"": 0.590797, ""strongly positive"": 0.402092}",0.000958,0.00094,0.005213,0.590797,0.402092
70,5070,154,5.0,76,positive,4,3.8102510240278207,"{""strongly negative"": 0.000315, ""negative"": 0.002853, ""negative or neutral"": 0.185749, ""positive"": 0.80843, ""strongly positive"": 0.002653}",0.000315,0.002853,0.185749,0.80843,0.002653
71,2135,1593,5.0,35,positive,4,3.9857165748253465,"{""strongly negative"": 0.001504, ""negative"": 0.008187, ""negative or neutral"": 0.044193, ""positive"": 0.895319, ""strongly positive"": 0.050797}",0.001504,0.008187,0.044193,0.895319,0.050797
72,4200,604,5.0,186,positive,4,3.8873847882496193,"{""strongly negative"": 0.000313, ""negative"": 0.003475, ""negative or neutral"": 0.109102, ""positive"": 0.882731, ""strongly positive"": 0.004378}",0.000313,0.003475,0.109102,0.882731,0.004378
73,3618,1473,5.0,26,positive,4,3.992842479914543,"{""strongly negative"": 0.000226, ""negative"": 0.001046, ""negative or neutral"": 0.030541, ""positive"": 0.942035, ""strongly positive"": 0.026153}",0.000226,0.001046,0.030541,0.942035,0.026153
74,2085,1331,4.0,65,negative or neutral,3,3.33460299516446,"{""strongly negative"": 0.000447, ""negative"": 0.011872, ""negative or neutral"": 0.642628, ""positive"": 0.342736, ""strongly positive"": 0.002317}",0.000447,0.011872,0.642628,0.342736,0.002317
75,4506,1666,3.0,79,negative,2,2.215670046047308,"{""strongly negative"": 0.00464, ""negative"": 0.785969, ""negative or neutral"": 0.199151, ""positive"": 0.009562, ""strongly positive"": 0.000678}",0.00464,0.785969,0.199151,0.009562,0.000678
76,1627,1330,5.0,51,negative or neutral,3,3.4036730979933054,"{""strongly negative"": 0.000121, ""negative"": 0.005037, ""negative or neutral"": 0.586598, ""positive"": 0.407536, ""strongly positive"": 0.000708}",0.000121,0.005037,0.586598,0.407536,0.000708
77,3041,192,5.0,53,positive,4,4.130535853328183,"{""strongly negative"": 0.001109, ""negative"": 0.00401, ""negative or neutral"": 0.022518, ""positive"": 0.807962, ""strongly positive"": 0.164401}",0.001109,0.00401,0.022518,0.807962,0.164401
78,3438,1674,5.0,74,strongly positive,5,4.51303145615384,"{""strongly negative"": 0.002146, ""negative"": 0.004961, ""negative or neutral"": 0.010399, ""positive"": 0.442702, ""strongly positive"": 0.539791}",0.002146,0.004961,0.010399,0.442702,0.539791
79,3258,514,4.0,48,negative,2,2.2462062784470618,"{""strongly negative"": 0.002983, ""negative"": 0.756244, ""negative or neutral"": 0.232723, ""positive"": 0.007683, ""strongly positive"": 0.000367}",0.002983,0.756244,0.232723,0.007683,0.000367
80,2768,477,1.0,48,negative,2,2.672496025450528,"{""strongly negative"": 0.001692, ""negative"": 0.449247, ""negative or neutral"": 0.425595, ""positive"": 0.121805, ""strongly positive"": 0.001661}",0.001692,0.449247,0.425595,0.121805,0.001661
81,3336,880,2.0,49,negative or neutral,3,2.6182418021198828,"{""strongly negative"": 0.001167, ""negative"": 0.399781, ""negative or neutral"": 0.579102, ""positive"": 0.019544, ""strongly positive"": 0.000407}",0.001167,0.399781,0.579102,0.019544,0.000407
82,2939,1409,5.0,87,negative or neutral,3,3.094755574886221,"{""strongly negative"": 0.000894, ""negative"": 0.087257, ""negative or neutral"": 0.728967, ""positive"": 0.181963, ""strongly positive"": 0.000919}",0.000894,0.087257,0.728967,0.181963,0.000919
83,2083,580,5.0,53,positive,4,4.082838730013464,"{""strongly negative"": 0.000847, ""negative"": 0.002485, ""negative or neutral"": 0.014945, ""positive"": 0.876426, ""strongly positive"": 0.105297}",0.000847,0.002485,0.014945,0.876426,0.105297
84,1906,1551,5.0,65,positive,4,4.12686127203051,"{""strongly negative"": 0.001102, ""negative"": 0.00256, ""negative or neutral"": 0.018685, ""positive"": 0.823682, ""strongly positive"": 0.153972}",0.001102,0.00256,0.018685,0.823682,0.153972
85,3556,688,5.0,498,negative or neutral,3,3.291046407219256,"{""strongly negative"": 0.000253, ""negative"": 0.010259, ""negative or neutral"": 0.688329, ""positive"": 0.300509, ""strongly positive"": 0.000651}",0.000253,0.010259,0.688329,0.300509,0.000651
86,1380,674,5.0,26,positive,4,4.018245498125907,"{""strongly negative"": 0.000432, ""negative"": 0.002081, ""negative or neutral"": 0.021352, ""positive"": 0.931084, ""strongly positive"": 0.045053}",0.000432,0.002081,0.021352,0.931084,0.045053
87,3858,426,5.0,24,positive,4,4.237894583726302,"{""strongly negative"": 0.000952, ""negative"": 0.001781, ""negative or neutral"": 0.014858, ""positive"": 0.723237, ""strongly positive"": 0.259172}",0.000952,0.001781,0.014858,0.723237,0.259172
88,4206,1201,5.0,21,strongly positive,5,4.708719786256552,"{""strongly negative"": 0.001135, ""negative"": 0.001504, ""negative or neutral"": 0.003283, ""positive"": 0.275662, ""strongly positive"": 0.718416}",0.001135,0.001504,0.003283,0.275662,0.718416
89,3991,1660,5.0,29,strongly positive,5,4.682418364332989,"{""strongly negative"": 0.001485, ""negative"": 0.001656, ""negative or neutral"": 0.005144, ""positive"": 0.296383, ""strongly positive"": 0.695332}",0.001485,0.001656,0.005144,0.296383,0.695332
90,4012,191,5.0,34,positive,4,3.963977501131012,"{""strongly negative"": 0.000184, ""negative"": 0.00131, ""negative or neutral"": 0.045416, ""positive"": 0.940524, ""strongly positive"": 0.012566}",0.000184,0.00131,0.045416,0.940524,0.012566
91,5116,738,5.0,69,positive,4,4.190416558471043,"{""strongly negative"": 0.000926, ""negative"": 0.001514, ""negative or neutral"": 0.009718, ""positive"": 0.781904, ""strongly positive"": 0.205939}",0.000926,0.001514,0.009718,0.781904,0.205939
92,4163,104,5.0,39,negative or neutral,3,3.3142383954836987,"{""strongly negative"": 0.00056, ""negative"": 0.031926, ""negative or neutral"": 0.621672, ""positive"": 0.344399, ""strongly positive"": 0.001443}",0.00056,0.031926,0.621672,0.344399,0.001443
93,4252,1102,4.0,39,positive,4,4.110423862177413,"{""strongly negative"": 0.000714, ""negative"": 0.001038, ""negative or neutral"": 0.007973, ""positive"": 0.867658, ""strongly positive"": 0.122616}",0.000714,0.001038,0.007973,0.867658,0.122616
94,2714,880,3.0,111,positive,4,3.7857368354161736,"{""strongly negative"": 0.000272, ""negative"": 0.002487, ""negative or neutral"": 0.210388, ""positive"": 0.784941, ""strongly positive"": 0.001913}",0.000272,0.002487,0.210388,0.784941,0.001913
95,1921,187,5.0,24,positive,4,4.137618648761418,"{""strongly negative"": 0.000585, ""negative"": 0.002416, ""negative or neutral"": 0.022406, ""positive"": 0.807982, ""strongly positive"": 0.166611}",0.000585,0.002416,0.022406,0.807982,0.166611
96,1400,1564,5.0,21,strongly positive,5,4.717673405539244,"{""strongly negative"": 0.001525, ""negative"": 0.001175, ""negative or neutral"": 0.003907, ""positive"": 0.264887, ""strongly positive"": 0.728506}",0.001525,0.001175,0.003907,0.264887,0.728506
97,1998,1333,5.0,25,positive,4,4.318461300688796,"{""strongly negative"": 0.001547, ""negative"": 0.003798, ""negative or neutral"": 0.011602, ""positive"": 0.640753, ""strongly positive"": 0.3423}",0.001547,0.003798,0.011602,0.640753,0.3423
98,3395,1102,5.0,21,positive,4,3.729175256245071,"{""strongly negative"": 0.000227, ""negative"": 0.002473, ""negative or neutral"": 0.267114, ""positive"": 0.728268, ""strongly positive"": 0.001917}",0.000227,0.002473,0.267114,0.728268,0.001917
99,2033,1604,4.0,47,positive,4,4.00351325556403,"{""strongly negative"": 0.000359, ""negative"": 0.001133, ""negative or neutral"": 0.02245, ""positive"": 0.946752, ""strongly positive"": 0.029307}",0.000359,0.001133,0.02245,0.946752,0.029307
100,1739,514,5.0,118,negative,2,2.205751258152304,"{""strongly negative"": 0.002373, ""negative"": 0.798535, ""negative or neutral"": 0.190434, ""positive"": 0.008286, ""strongly positive"": 0.000373}",0.002373,0.798535,0.190434,0.008286,0.000373
101,2730,842,5.0,21,positive,4,4.194245532213245,"{""strongly negative"": 0.000959, ""negative"": 0.001032, ""negative or neutral"": 0.005516, ""positive"": 0.787791, ""strongly positive"": 0.204702}",0.000959,0.001032,0.005516,0.787791,0.204702
102,4402,181,3.0,20,negative or neutral,3,2.60516604379518,"{""strongly negative"": 0.001001, ""negative"": 0.413111, ""negative or neutral"": 0.56602, ""positive"": 0.019455, ""strongly positive"": 0.000412}",0.001001,0.413111,0.56602,0.019455,0.000412
103,3465,1460,5.0,115,positive,4,3.78829920203134,"{""strongly negative"": 0.000127, ""negative"": 0.001576, ""negative or neutral"": 0.210003, ""positive"": 0.78646, ""strongly positive"": 0.001834}",0.000127,0.001576,0.210003,0.78646,0.001834
104,926,362,4.0,30,negative or neutral,3,3.208762420617859,"{""strongly negative"": 0.000177, ""negative"": 0.014022, ""negative or neutral"": 0.763185, ""positive"": 0.222093, ""strongly positive"": 0.000523}",0.000177,0.014022,0.763185,0.222093,0.000523
105,3990,1196,5.0,30,positive,4,4.146880392916501,"{""strongly negative"": 0.000999, ""negative"": 0.002085, ""negative or neutral"": 0.013494, ""positive"": 0.81588, ""strongly positive"": 0.167542}",0.000999,0.002085,0.013494,0.81588,0.167542
106,2643,1355,2.0,378,negative,2,2.157963763398584,"{""strongly negative"": 0.002038, ""negative"": 0.842749, ""negative or neutral"": 0.150706, ""positive"": 0.004226, ""strongly positive"": 0.000281}",0.002038,0.842749,0.150706,0.004226,0.000281
107,3786,427,5.0,21,positive,4,4.047621153644286,"{""strongly negative"": 0.000743, ""negative"": 0.002072, ""negative or neutral"": 0.025518, ""positive"": 0.892154, ""strongly positive"": 0.079513}",0.000743,0.002072,0.025518,0.892154,0.079513
108,4945,1684,5.0,21,strongly positive,5,4.536901990999468,"{""strongly negative"": 0.001263, ""negative"": 0.001232, ""negative or neutral"": 0.004028, ""positive"": 0.446297, ""strongly positive"": 0.547181}",0.001263,0.001232,0.004028,0.446297,0.547181
109,3625,1293,5.0,38,positive,4,3.895521480735624,"{""strongly negative"": 0.000278, ""negative"": 0.002671, ""negative or neutral"": 0.105054, ""positive"": 0.885246, ""strongly positive"": 0.006752}",0.000278,0.002671,0.105054,0.885246,0.006752
