row_id,user_id,item_id,rating,review_length,sentiment_label,sentiment_1_5,sentiment_expected_1_5,sentiment_scores,sentiment_p1,sentiment_p2,sentiment_p3,sentiment_p4,sentiment_p5
51,2950,1606,5.0,103,positive,4,4.043515437166207,"{""strongly negative"": 0.000678, ""negative"": 0.00217, ""negative or neutral"": 0.021522, ""positive"": 0.904218, ""strongly positive"": 0.071412}",0.000678,0.00217,0.021522,0.904218,0.071412
52,1508,1916,5.0,94,positive,4,3.980093243822921,"{""strongly negative"": 0.000505, ""negative"": 0.001685, ""negative or neutral"": 0.038291, ""positive"": 0.93625, ""strongly positive"": 0.023269}",0.000505,0.001685,0.038291,0.93625,0.023269
53,1294,1437,3.0,35,positive,4,3.485631909716176,"{""strongly negative"": 0.000305, ""negative"": 0.015734, ""negative or neutral"": 0.483856, ""positive"": 0.498235, ""strongly positive"": 0.00187}",0.000305,0.015734,0.483856,0.498235,0.00187
54,1793,136,5.0,112,negative or neutral,3,3.448327693302417,"{""strongly negative"": 0.000454, ""negative"": 0.015342, ""negative or neutral"": 0.521315, ""positive"": 0.4612, ""strongly positive"": 0.001689}",0.000454,0.015342,0.521315,0.4612,0.001689
55,2136,821,5.0,62,positive,4,4.044167330255732,"{""strongly negative"": 0.000591, ""negative"": 0.001787, ""negative or neutral"": 0.021515, ""positive"": 0.905076, ""strongly positive"": 0.071031}",0.000591,0.001787,0.021515,0.905076,0.071031
56,4031,123,5.0,159,positive,4,3.689805441710632,"{""strongly negative"": 0.00051, ""negative"": 0.006943, ""negative or neutral"": 0.29832, ""positive"": 0.690686, ""strongly positive"": 0.003541}",0.00051,0.006943,0.29832,0.690686,0.003541
57,4476,1829,5.0,110,positive,4,3.769859527790686,"{""strongly negative"": 0.00036, ""negative"": 0.006871, ""negative or neutral"": 0.221948, ""positive"": 0.764192, ""strongly positive"": 0.006629}",0.00036,0.006871,0.221948,0.764192,0.006629
58,3541,1548,5.0,109,positive,4,4.020098345528822,"{""strongly negative"": 0.000848, ""negative"": 0.00383, ""negative or neutral"": 0.036533, ""positive"": 0.891953, ""strongly positive"": 0.066836}",0.000848,0.00383,0.036533,0.891953,0.066836
59,4546,1932,4.0,311,negative or neutral,3,3.260537107096752,"{""strongly negative"": 0.000343, ""negative"": 0.012511, ""negative or neutral"": 0.714211, ""positive"": 0.272135, ""strongly positive"": 0.0008}",0.000343,0.012511,0.714211,0.272135,0.0008
60,3026,1897,5.0,64,positive,4,3.922260846098652,"{""strongly negative"": 0.000338, ""negative"": 0.001737, ""negative or neutral"": 0.07823, ""positive"": 0.914714, ""strongly positive"": 0.00498}",0.000338,0.001737,0.07823,0.914714,0.00498
61,3742,2119,5.0,108,positive,4,3.768506916472688,"{""strongly negative"": 0.000629, ""negative"": 0.010952, ""negative or neutral"": 0.214869, ""positive"": 0.766386, ""strongly positive"": 0.007165}",0.000629,0.010952,0.214869,0.766386,0.007165
62,1782,1725,5.0,26,strongly positive,5,4.791666556149721,"{""strongly negative"": 0.002128, ""negative"": 0.001821, ""negative or neutral"": 0.00345, ""positive"": 0.187456, ""strongly positive"": 0.805144}",0.002128,0.001821,0.00345,0.187456,0.805144
63,1642,1600,4.0,120,positive,4,3.7438120352162514,"{""strongly negative"": 0.000346, ""negative"": 0.002975, ""negative or neutral"": 0.251794, ""positive"": 0.742292, ""strongly positive"": 0.002593}",0.000346,0.002975,0.251794,0.742292,0.002593
64,4483,1863,3.0,321,negative or neutral,3,3.123765798052773,"{""strongly negative"": 0.000202, ""negative"": 0.024944, ""negative or neutral"": 0.826261, ""positive"": 0.148074, ""strongly positive"": 0.000519}",0.000202,0.024944,0.826261,0.148074,0.000519
65,655,1022,3.0,41,negative,2,2.311105914064683,"{""strongly negative"": 0.004786, ""negative"": 0.702602, ""negative or neutral"": 0.270783, ""positive"": 0.020378, ""strongly positive"": 0.001451}",0.004786,0.702602,0.270783,0.020378,0.001451
66,10,1151,5.0,187,positive,4,3.742922345554689,"{""strongly negative"": 0.000131, ""negative"": 0.001589, ""negative or neutral"": 0.254718, ""positive"": 0.74235, ""strongly positive"": 0.001212}",0.000131,0.001589,0.254718,0.74235,0.001212
67,1271,975,5.0,444,negative or neutral,3,3.239737807889469,"{""strongly negative"": 0.000176, ""negative"": 0.003066, ""negative or neutral"": 0.754044, ""positive"": 0.24227, ""strongly positive"": 0.000443}",0.000176,0.003066,0.754044,0.24227,0.000443
68,4890,1863,5.0,294,positive,4,3.874909235950327,"{""strongly negative"": 0.000255, ""negative"": 0.002441, ""negative or neutral"": 0.125418, ""positive"": 0.865912, ""strongly positive"": 0.005974}",0.000255,0.002441,0.125418,0.865912,0.005974
69,3325,299,3.0,199,negative or neutral,3,3.0479991500615142,"{""strongly negative"": 0.000609, ""negative"": 0.047325, ""negative or neutral"": 0.856233, ""positive"": 0.095123, ""strongly positive"": 0.000709}",0.000609,0.047325,0.856233,0.095123,0.000709
70,2128,1812,5.0,108,positive,4,3.569078413362149,"{""strongly negative"": 0.000396, ""negative"": 0.015041, ""negative or neutral"": 0.402087, ""positive"": 0.580043, ""strongly positive"": 0.002434}",0.000396,0.015041,0.402087,0.580043,0.002434
71,963,1994,5.0,78,negative or neutral,3,2.848719477537088,"{""strongly negative"": 0.001204, ""negative"": 0.17357, ""negative or neutral"": 0.801096, ""positive"": 0.023562, ""strongly positive"": 0.000568}",0.001204,0.17357,0.801096,0.023562,0.000568
72,3507,869,3.0,147,negative or neutral,3,2.6175330240512267,"{""strongly negative"": 0.002, ""negative"": 0.423342, ""negative or neutral"": 0.530997, ""positive"": 0.042447, ""strongly positive"": 0.001214}",0.002,0.423342,0.530997,0.042447,0.001214
73,3918,1284,5.0,241,positive,4,3.865658306865953,"{""strongly negative"": 0.000349, ""negative"": 0.00153, ""negative or neutral"": 0.136979, ""positive"": 0.8544, ""strongly positive"": 0.006743}",0.000349,0.00153,0.136979,0.8544,0.006743
74,995,275,2.0,69,negative or neutral,3,3.047898250690196,"{""strongly negative"": 0.000703, ""negative"": 0.128652, ""negative or neutral"": 0.693756, ""positive"": 0.17582, ""strongly positive"": 0.001069}",0.000703,0.128652,0.693756,0.17582,0.001069
75,1013,1829,4.0,174,negative or neutral,3,3.005299262993504,"{""strongly negative"": 0.001013, ""negative"": 0.102078, ""negative or neutral"": 0.788475, ""positive"": 0.107464, ""strongly positive"": 0.00097}",0.001013,0.102078,0.788475,0.107464,0.00097
76,1987,1604,5.0,107,positive,4,3.654833176929969,"{""strongly negative"": 0.000428, ""negative"": 0.005884, ""negative or neutral"": 0.33566, ""positive"": 0.654482, ""strongly positive"": 0.003546}",0.000428,0.005884,0.33566,0.654482,0.003546
77,4142,1936,5.0,72,positive,4,3.964675351162441,"{""strongly negative"": 0.000989, ""negative"": 0.003819, ""negative or neutral"": 0.065534, ""positive"": 0.888846, ""strongly positive"": 0.040813}",0.000989,0.003819,0.065534,0.888846,0.040813
78,872,663,5.0,154,positive,4,3.897134212544188,"{""strongly negative"": 0.000204, ""negative"": 0.002484, ""negative or neutral"": 0.102552, ""positive"": 0.889494, ""strongly positive"": 0.005266}",0.000204,0.002484,0.102552,0.889494,0.005266
79,1162,112,5.0,52,positive,4,3.946705684793415,"{""strongly negative"": 0.000304, ""negative"": 0.004036, ""negative or neutral"": 0.058567, ""positive"": 0.922837, ""strongly positive"": 0.014256}",0.000304,0.004036,0.058567,0.922837,0.014256
80,144,626,5.0,35,positive,4,3.989773148437962,"{""strongly negative"": 0.000272, ""negative"": 0.001001, ""negative or neutral"": 0.024821, ""positive"": 0.956494, ""strongly positive"": 0.017412}",0.000272,0.001001,0.024821,0.956494,0.017412
81,811,1846,3.0,74,positive,4,3.767126106016804,"{""strongly negative"": 0.000806, ""negative"": 0.013463, ""negative or neutral"": 0.209601, ""positive"": 0.770059, ""strongly positive"": 0.006071}",0.000806,0.013463,0.209601,0.770059,0.006071
82,2685,591,4.0,196,negative or neutral,3,3.4339411128894426,"{""strongly negative"": 0.000233, ""negative"": 0.015764, ""negative or neutral"": 0.534765, ""positive"": 0.448306, ""strongly positive"": 0.000932}",0.000233,0.015764,0.534765,0.448306,0.000932
83,3134,1504,5.0,74,positive,4,3.963006578880595,"{""strongly negative"": 0.000412, ""negative"": 0.002626, ""negative or neutral"": 0.054021, ""positive"": 0.919422, ""strongly positive"": 0.023518}",0.000412,0.002626,0.054021,0.919422,0.023518
84,20,1570,5.0,74,positive,4,4.054399281856604,"{""strongly negative"": 0.000612, ""negative"": 0.0021, ""negative or neutral"": 0.021415, ""positive"": 0.894025, ""strongly positive"": 0.081849}",0.000612,0.0021,0.021415,0.894025,0.081849
85,3017,2177,5.0,39,positive,4,4.116430583060719,"{""strongly negative"": 0.001591, ""negative"": 0.004048, ""negative or neutral"": 0.031386, ""positive"": 0.80229, ""strongly positive"": 0.160685}",0.001591,0.004048,0.031386,0.80229,0.160685
86,4213,511,5.0,24,negative or neutral,3,3.219326731748879,"{""strongly negative"": 0.001797, ""negative"": 0.093072, ""negative or neutral"": 0.591864, ""positive"": 0.310542, ""strongly positive"": 0.002726}",0.001797,0.093072,0.591864,0.310542,0.002726
87,4856,2217,3.0,301,negative or neutral,3,3.312231805408373,"{""strongly negative"": 0.000526, ""negative"": 0.015786, ""negative or neutral"": 0.655696, ""positive"": 0.326916, ""strongly positive"": 0.001077}",0.000526,0.015786,0.655696,0.326916,0.001077
88,1092,1070,5.0,241,negative or neutral,3,3.2835849472903647,"{""strongly negative"": 0.00064, ""negative"": 0.061207, ""negative or neutral"": 0.59348, ""positive"": 0.343274, ""strongly positive"": 0.001399}",0.00064,0.061207,0.59348,0.343274,0.001399
89,3436,598,5.0,25,positive,4,4.254166492493823,"{""strongly negative"": 0.001241, ""negative"": 0.002909, ""negative or neutral"": 0.017138, ""positive"": 0.697868, ""strongly positive"": 0.280844}",0.001241,0.002909,0.017138,0.697868,0.280844
90,3580,650,3.0,112,positive,4,3.4253088005352765,"{""strongly negative"": 0.001731, ""negative"": 0.062654, ""negative or neutral"": 0.448352, ""positive"": 0.4831, ""strongly positive"": 0.004163}",0.001731,0.062654,0.448352,0.4831,0.004163
91,1290,1510,4.0,212,positive,4,3.5994830328272656,"{""strongly negative"": 0.000711, ""negative"": 0.028572, ""negative or neutral"": 0.344935, ""positive"": 0.622083, ""strongly positive"": 0.003697}",0.000711,0.028572,0.344935,0.622083,0.003697
92,4614,1936,5.0,25,positive,4,3.77942095437902,"{""strongly negative"": 0.000413, ""negative"": 0.008402, ""negative or neutral"": 0.20873, ""positive"": 0.776262, ""strongly positive"": 0.006194}",0.000413,0.008402,0.20873,0.776262,0.006194
93,2846,169,5.0,119,positive,4,3.993166736501735,"{""strongly negative"": 0.00029, ""negative"": 0.001226, ""negative or neutral"": 0.035409, ""positive"": 0.931176, ""strongly positive"": 0.031899}",0.00029,0.001226,0.035409,0.931176,0.031899
94,4573,1593,4.0,61,positive,4,3.817707698792219,"{""strongly negative"": 0.001961, ""negative"": 0.020483, ""negative or neutral"": 0.155661, ""positive"": 0.801677, ""strongly positive"": 0.020217}",0.001961,0.020483,0.155661,0.801677,0.020217
95,4375,1286,4.0,486,positive,4,3.727622429782059,"{""strongly negative"": 0.000368, ""negative"": 0.003614, ""negative or neutral"": 0.267173, ""positive"": 0.725716, ""strongly positive"": 0.003128}",0.000368,0.003614,0.267173,0.725716,0.003128
96,185,2216,4.0,309,negative or neutral,3,3.4538249003817327,"{""strongly negative"": 0.000939, ""negative"": 0.012986, ""negative or neutral"": 0.520384, ""positive"": 0.462694, ""strongly positive"": 0.002997}",0.000939,0.012986,0.520384,0.462694,0.002997
97,762,54,5.0,204,positive,4,3.6634150607860647,"{""strongly negative"": 0.000492, ""negative"": 0.004835, ""negative or neutral"": 0.329416, ""positive"": 0.66128, ""strongly positive"": 0.003977}",0.000492,0.004835,0.329416,0.66128,0.003977
98,3766,141,2.0,107,negative,2,2.398147404426709,"{""strongly negative"": 0.00225, ""negative"": 0.628082, ""negative or neutral"": 0.339966, ""positive"": 0.028676, ""strongly positive"": 0.001026}",0.00225,0.628082,0.339966,0.028676,0.001026
99,1951,567,4.0,142,negative or neutral,3,3.4125188892357983,"{""strongly negative"": 0.000764, ""negative"": 0.030653, ""negative or neutral"": 0.525956, ""positive"": 0.440553, ""strongly positive"": 0.002073}",0.000764,0.030653,0.525956,0.440553,0.002073
100,4359,731,5.0,35,positive,4,3.7166122784256,"{""strongly negative"": 0.00024, ""negative"": 0.005736, ""negative or neutral"": 0.273909, ""positive"": 0.717402, ""strongly positive"": 0.002713}",0.00024,0.005736,0.273909,0.717402,0.002713
101,4520,918,5.0,2907,negative or neutral,3,3.1191276477184147,"{""strongly negative"": 0.000956, ""negative"": 0.048985, ""negative or neutral"": 0.781191, ""positive"": 0.167711, ""strongly positive"": 0.001157}",0.000956,0.048985,0.781191,0.167711,0.001157
102,554,1488,5.0,42,positive,4,3.92775779425574,"{""strongly negative"": 0.000207, ""negative"": 0.003074, ""negative or neutral"": 0.06998, ""positive"": 0.92223, ""strongly positive"": 0.004508}",0.000207,0.003074,0.06998,0.92223,0.004508
103,3629,325,2.0,171,negative,2,2.2251816790667363,"{""strongly negative"": 0.004919, ""negative"": 0.777619, ""negative or neutral"": 0.205611, ""positive"": 0.011063, ""strongly positive"": 0.000788}",0.004919,0.777619,0.205611,0.011063,0.000788
104,1724,1322,5.0,75,positive,4,3.92196701397188,"{""strongly negative"": 0.000563, ""negative"": 0.002202, ""negative or neutral"": 0.087228, ""positive"": 0.894719, ""strongly positive"": 0.015288}",0.000563,0.002202,0.087228,0.894719,0.015288
105,1022,1968,5.0,20,positive,4,3.9565826473990455,"{""strongly negative"": 0.001084, ""negative"": 0.008646, ""negative or neutral"": 0.064079, ""positive"": 0.884984, ""strongly positive"": 0.041206}",0.001084,0.008646,0.064079,0.884984,0.041206
106,3004,2103,3.0,86,negative or neutral,3,3.228196544368984,"{""strongly negative"": 0.000198, ""negative"": 0.018219, ""negative or neutral"": 0.735412, ""positive"": 0.245531, ""strongly positive"": 0.00064}",0.000198,0.018219,0.735412,0.245531,0.00064
107,1343,978,5.0,220,positive,4,3.9633280450943857,"{""strongly negative"": 0.000612, ""negative"": 0.003627, ""negative or neutral"": 0.056171, ""positive"": 0.911002, ""strongly positive"": 0.028588}",0.000612,0.003627,0.056171,0.911002,0.028588
108,1670,62,5.0,51,positive,4,4.004160057986155,"{""strongly negative"": 0.001268, ""negative"": 0.005985, ""negative or neutral"": 0.055316, ""positive"": 0.862182, ""strongly positive"": 0.075249}",0.001268,0.005985,0.055316,0.862182,0.075249
109,3538,1408,5.0,189,positive,4,3.494118942297064,"{""strongly negative"": 0.001328, ""negative"": 0.022822, ""negative or neutral"": 0.460129, ""positive"": 0.511847, ""strongly positive"": 0.003874}",0.001328,0.022822,0.460129,0.511847,0.003874
